ID|SourceID|MessageID|Tag|Value|Type|Quality|Timestamp|TimestampMessage|TimestampCreation
63|BH14|c4ad5c98-e26a-400e-b9bb-7a472b86ab21|PW_P_IMMAX|961|xsd:double|Good|2018-02-27 17:34:43|2018-02-27 17:34:43|2018-02-27 18:34:43.453000000
64|BH14|c4ad5c98-e26a-400e-b9bb-7a472b86ab21|PW_P_IMR0|1|xsd:boolean|Good|2018-02-27 17:34:43|2018-02-27 17:34:43|2018-02-27 18:34:43.453000000
65|BH14|c4ad5c98-e26a-400e-b9bb-7a472b86ab21|PW_S_PRE|13|xsd:double|Good|2018-02-27 17:34:43|2018-02-27 17:34:43|2018-02-27 18:34:43.453000000
66|BH14|c4ad5c98-e26a-400e-b9bb-7a472b86ab21|PW_T_CYC|44.057231903076|xsd:double|Good|2018-02-27 17:34:43|2018-02-27 17:34:43|2018-02-27 18:34:43.453000000
67|BH14|c4ad5c98-e26a-400e-b9bb-7a472b86ab21|PW_T_SUM|0.030999898911|xsd:double|Good|2018-02-27 17:34:43|2018-02-27 17:34:43|2018-02-27 18:34:43.453000000
68|BH14|c4ad5c98-e26a-400e-b9bb-7a472b86ab21|PW_V_CF|3.680826425552|xsd:double|Good|2018-02-27 17:34:43|2018-02-27 17:34:43|2018-02-27 18:34:43.453000000
69|BH14|336bbfce-3a00-4cb9-b91f-3fe4ddf00743|PW_F_LCTR|9340326|xsd:double|Good|2018-02-27 17:34:44|2018-02-27 17:34:44|2018-02-27 18:34:44.453000000
70|BH14|f4858db0-7546-4998-baf9-950088b7f372|PW_L_B|19|xsd:double|Good|2018-02-27 17:35:30|2018-02-27 17:35:43|2018-02-27 18:35:43.147000000
71|BH14|f4858db0-7546-4998-baf9-950088b7f372|PW_QUA_ATT_I|3|xsd:long|Good|2018-02-27 17:35:43|2018-02-27 17:35:43|2018-02-27 18:35:43.147000000
72|BH14|f4858db0-7546-4998-baf9-950088b7f372|svBAbetriebsart|5|xsd:long|Good|2018-02-27 17:35:30|2018-02-27 17:35:43|2018-02-27 18:35:43.147000000
73|BH14|f4858db0-7546-4998-baf9-950088b7f372|ZR_PROCYC_JOB_OUT_I|0|xsd:long|Good|2018-02-27 17:35:30|2018-02-27 17:35:43|2018-02-27 18:35:43.147000000
74|BH14|f4858db0-7546-4998-baf9-950088b7f372|ZR_PROCYC_JOB_PS_I|6|xsd:long|Good|2018-02-27 17:35:30|2018-02-27 17:35:43|2018-02-27 18:35:43.147000000
75|BH14|f4858db0-7546-4998-baf9-950088b7f372|ZR_SUMCYC_JOB_BAD_I|25|xsd:long|Good|2018-02-27 17:35:30|2018-02-27 17:35:43|2018-02-27 18:35:43.147000000
76|BH14|f4858db0-7546-4998-baf9-950088b7f372|ZR_SUMCYC_JOB_OK_I|2138|xsd:long|Good|2018-02-27 17:35:43|2018-02-27 17:35:43|2018-02-27 18:35:43.147000000
77|BH14|f4858db0-7546-4998-baf9-950088b7f372|PW_F_LCTR|9338347|xsd:double|Good|2018-02-27 17:35:30|2018-02-27 17:35:43|2018-02-27 18:35:43.147000000
78|BH14|f4858db0-7546-4998-baf9-950088b7f372|PW_P_IMMAX|960|xsd:double|Good|2018-02-27 17:35:30|2018-02-27 17:35:43|2018-02-27 18:35:43.147000000
79|BH14|f4858db0-7546-4998-baf9-950088b7f372|PW_P_IMR0|1|xsd:boolean|Good|2018-02-27 17:35:30|2018-02-27 17:35:43|2018-02-27 18:35:43.147000000
80|BH14|f4858db0-7546-4998-baf9-950088b7f372|PW_S_PRE|12|xsd:double|Good|2018-02-27 17:35:30|2018-02-27 17:35:43|2018-02-27 18:35:43.147000000
81|BH14|f4858db0-7546-4998-baf9-950088b7f372|PW_T_CYC|43.934913635254|xsd:double|Good|2018-02-27 17:35:30|2018-02-27 17:35:43|2018-02-27 18:35:43.147000000
82|BH14|f4858db0-7546-4998-baf9-950088b7f372|PW_T_F|0.029600143433|xsd:double|Good|2018-02-27 17:35:30|2018-02-27 17:35:43|2018-02-27 18:35:43.147000000
83|BH14|f4858db0-7546-4998-baf9-950088b7f372|PW_T_SUM|0.031800031662|xsd:double|Good|2018-02-27 17:35:30|2018-02-27 17:35:43|2018-02-27 18:35:43.147000000
84|BH14|f4858db0-7546-4998-baf9-950088b7f372|PW_V_CF|3.676434993744|xsd:double|Good|2018-02-27 17:35:30|2018-02-27 17:35:43|2018-02-27 18:35:43.147000000
85|BH14|5bf3a9ae-18e0-429c-b285-7a3d08ec25b7|PW_QUA_ATT_I|0|xsd:long|Good|2018-02-27 17:35:54|2018-02-27 17:35:54|2018-02-27 18:35:54.153000000
86|BH14|024228e7-f4d0-4eea-8bd2-7f4f1c35a636|PW_L_B|21|xsd:double|Good|2018-02-27 17:36:12|2018-02-27 17:36:12|2018-02-27 18:36:12.160000000
87|BH14|024228e7-f4d0-4eea-8bd2-7f4f1c35a636|PW_F_LCTR|9337688|xsd:double|Good|2018-02-27 17:36:12|2018-02-27 17:36:12|2018-02-27 18:36:12.160000000
88|BH14|024228e7-f4d0-4eea-8bd2-7f4f1c35a636|PW_P_IMMAX|951|xsd:double|Good|2018-02-27 17:36:12|2018-02-27 17:36:12|2018-02-27 18:36:12.160000000
89|BH14|024228e7-f4d0-4eea-8bd2-7f4f1c35a636|PW_P_IMR0|1|xsd:boolean|Good|2018-02-27 17:36:12|2018-02-27 17:36:12|2018-02-27 18:36:12.160000000
90|BH14|024228e7-f4d0-4eea-8bd2-7f4f1c35a636|PW_S_PRE|13|xsd:double|Good|2018-02-27 17:36:12|2018-02-27 17:36:12|2018-02-27 18:36:12.160000000
91|BH14|024228e7-f4d0-4eea-8bd2-7f4f1c35a636|PW_T_CYC|44.14591217041|xsd:double|Good|2018-02-27 17:36:12|2018-02-27 17:36:12|2018-02-27 18:36:12.160000000
92|BH14|024228e7-f4d0-4eea-8bd2-7f4f1c35a636|PW_T_F|0.029599905014|xsd:double|Good|2018-02-27 17:36:12|2018-02-27 17:36:12|2018-02-27 18:36:12.160000000
93|BH14|024228e7-f4d0-4eea-8bd2-7f4f1c35a636|PW_V_CF|3.677565336227|xsd:double|Good|2018-02-27 17:36:12|2018-02-27 17:36:12|2018-02-27 18:36:12.160000000
